	rss	var_ref	df	chi2	pval
E	3.71601917519682e-06	1.69485649677996e-07	10	21.9252732149114	0.0154898451195551
B	2.90281474676924e-06	4.83589100377374e-08	10	60.0264717402438	3.58273830235293e-09
G	2.27032731344813e-06	1.61015250903373e-08	10	141.000762394276	2.62793555174241e-25
F	2.77482134100254e-06	4.19592397493672e-08	10	66.1313540849935	2.46119342200021e-10
I	2.61616393817785e-06	3.33081736625292e-08	10	78.5442025337152	9.67848157770244e-13
J	1.43320356561506e-05	6.11894740928072e-07	10	23.4223873773012	0.00929039681710198
C	2.61544029145471e-06	3.39901872719978e-08	10	76.9469220785785	1.98575086140517e-12
H	1.04603315760697e-05	4.18642611199804e-07	10	24.9863040603798	0.00537152631447668
K	1.34615920891406e-05	6.73079604457015e-07	10	20.0000000000004	0.029252688076957
D	9.2900479379881e-07	4.23714124194795e-08	10	21.9252732149121	0.0154898451195511
A	1.93821040776931e-06	1.28693087608428e-10	10	15060.7188294888	0
Total	5.80167613289783e-05	2.08932074758194e-06	110	15595.6277801881	0
